Title,Product Link,Image URL,Price
COMMERCE BLAZER,https://www.aritzia.com/en/product/commerce-blazer/115376.html?dwvar_115376_color=4425,https://assets.aritzia.com/image/upload/medium/f24_a04_115376_4425_on_b.jpg,$186
ARBUS BLAZER,https://www.aritzia.com/en/product/arbus-blazer/119726.html?dwvar_119726_color=32836,https://assets.aritzia.com/image/upload/medium/s24_01_a04_119726_32836_on_b.jpg,$90.99-$113.99
INTRIGUE BLAZER,https://www.aritzia.com/en/product/intrigue-blazer/116578.html?dwvar_116578_color=1274,https://assets.aritzia.com/image/upload/medium/f24_a04_116578_1274_on_b.jpg,$123.99
PACINO VEST,https://www.aritzia.com/en/product/pacino-vest/119764.html?dwvar_119764_color=32945,https://assets.aritzia.com/image/upload/medium/f24_a04_119764_32945_on_b.jpg,$63.99
ARTEMIS BLAZER,https://www.aritzia.com/en/product/artemis-blazer/122742.html?dwvar_122742_color=1274,https://assets.aritzia.com/image/upload/medium/f24_a04_122742_1274_on_b.jpg,$123.99
JURIS VEST,https://www.aritzia.com/en/product/juris-vest/120723.html?dwvar_120723_color=1274,https://assets.aritzia.com/image/upload/medium/f24_a04_120723_1274_on_b.jpg,$128
POWER BLAZER,https://www.aritzia.com/en/product/power-blazer/122427.html?dwvar_122427_color=1274,https://assets.aritzia.com/image/upload/medium/f24_a04_122427_1274_on_b.jpg,$98.99
KLEOS BLAZER,https://www.aritzia.com/en/product/kleos-blazer/123614.html?dwvar_123614_color=1274,https://assets.aritzia.com/image/upload/medium/f24_a04_123614_1274_on_b.jpg,$186
YORKSHIRE VEST,https://www.aritzia.com/en/product/yorkshire-vest/119548.html?dwvar_119548_color=1274,https://assets.aritzia.com/image/upload/medium/f24_a04_119548_1274_on_b.jpg,$63.99
GENERATION BLAZER,https://www.aritzia.com/en/product/generation-blazer/113712.html?dwvar_113712_color=15033,https://assets.aritzia.com/image/upload/medium/f23_04_a04_113712_15033_on_b.jpg,$186
REGAL LINEN VEST,https://www.aritzia.com/en/product/regal-linen-vest/122910.html?dwvar_122910_color=160,https://assets.aritzia.com/image/upload/medium/f24_a04_122910_160_on_b.jpg,$118
INNOVATE BLAZER,https://www.aritzia.com/en/product/innovate-blazer/122900.html?dwvar_122900_color=6046,https://assets.aritzia.com/image/upload/medium/f24_a04_122900_6046_on_b.jpg,$123.99
CLAUDINE BLAZER,https://www.aritzia.com/en/product/claudine-blazer/122402.html?dwvar_122402_color=30654,https://assets.aritzia.com/image/upload/medium/f24_a04_122402_30654_on_b.jpg,$123.99
NEW GENERATION LINEN BLAZER,https://www.aritzia.com/en/product/new-generation-linen-blazer/116521.html?dwvar_116521_color=1564,https://assets.aritzia.com/image/upload/medium/s24_04_a04_116521_1564_on_b.jpg,$178.50
BOROUGH VEST,https://www.aritzia.com/en/product/borough-vest/119742.html?dwvar_119742_color=1274,https://assets.aritzia.com/image/upload/medium/s24_04_a04_119742_1274_on_b.jpg,$58.99
PACINO LINEN VEST,https://www.aritzia.com/en/product/pacino-linen-vest/117017.html?dwvar_117017_color=1274,https://assets.aritzia.com/image/upload/medium/s24_04_a04_117017_1274_on_b.jpg,$58.99
PESCI VEST,https://www.aritzia.com/en/product/pesci-vest/119751.html?dwvar_119751_color=31568,https://assets.aritzia.com/image/upload/medium/s24_04_a04_119751_31568_on_b.jpg,$63.99
